"canonicalRowIndex","rep","n","m","lambda","eta","pStar","areaStar","selectedCandidateStar","p2Winner","p2Area","p2Comparable","p2WinnerDiffers","p2RelativeGain","ci1P","ci1Winner","ci1Area","ci1Comparable","ci1WinnerDiffers","ci1RelativeGain"
5223,23,51,7,0.5,3,"1.0285714285714287",0.011351408768245407,3,3,0.0032538413780520544,true,false,2.488617744187962,1.5849625007211563,3,0.0062342185442345495,true,false,0.8208230410438967
5224,24,51,7,0.5,3,"1.6652275811027506",0.006561041513180655,4,4,-0.000997722442789549,true,false,7.5760187721512295,1.5849625007211563,5,-0.006902069935236246,true,true,1.9505904134186494
5226,26,51,7,0.5,3,"1.2123933542882803",0.0015320087914880891,4,4,-0.01003030093358098,true,false,1.1527380685417918,1.5849625007211563,4,-0.0046515624420469725,true,false,1.329353590449473
5227,27,51,7,0.5,3,"1.3206808843670514",0.02807009641638913,4,4,0.006092317254363894,true,false,3.6074580893308976,1.5849625007211563,4,0.01628290447817358,true,false,0.7238998394921305
5230,30,51,7,0.5,3,"1.1286681715575622",0.014830756166611683,4,4,-0.01691213421927429,true,false,1.876929899817699,1.5849625007211563,4,0.00759182906280949,true,false,0.9535155551991975
5231,31,51,7,0.5,3,"1.015572105619499",0.01590934851758649,4,4,-0.042455439301563716,true,false,1.3747305122573663,1.5849625007211563,4,-0.03219795818261648,true,false,1.4941104782903865
5232,32,51,7,0.5,3,"3.760445682451253",0.018978423925764834,4,3,0.00296648883774222,true,true,5.397605035388982,1.5849625007211563,3,0.005525924577572676,true,true,2.434434122172062
5234,34,51,7,0.5,3,"1.2289485662266728",0.01937745688487486,3,3,0.001247652659349003,true,false,14.531130992006684,1.5849625007211563,3,0.00827745164611347,true,false,1.3409930632422598
5235,35,51,7,0.5,3,"1.1442617392778438",0.00521834113489345,4,4,-0.03946489729618965,true,false,1.132227409480609,1.5849625007211563,4,-0.00820938750840945,true,false,1.635655355475416
5237,37,51,7,0.5,3,"2.153797064454371",0.0353227129049872,5,5,0.03526676090437103,true,false,0.0015865364207359623,1.5849625007211563,5,0.03435065427743862,true,false,0.028298110996593878
5241,41,51,7,0.5,3,"1.3641875505254648",0.008542566031643686,4,4,0.0013089536821468692,true,false,5.526255396319806,1.5849625007211563,4,0.0058885190463408305,true,false,0.4507155304103329
5244,44,51,7,0.5,3,"1.067193675889328",0.015019268937326172,4,4,-0.003437311786929923,true,false,5.369481114409123,1.5849625007211563,4,-0.0012913914304669158,true,false,12.630299367787968
5245,45,51,7,0.5,3,"1.1962782454585732",0.004914996074912519,4,4,-0.016646252070380847,true,false,1.2952614230597836,1.5849625007211563,4,-0.010388645698838538,true,false,1.4731123013909329
5246,46,51,7,0.5,3,"1.4068361817423927",0.0026097297712655487,4,4,-0.014941468966401568,true,false,1.1746635338957614,1.5849625007211563,4,-0.003463142854973671,true,false,1.7535726594464698
5247,47,51,7,0.5,3,"1.7432851239669418",0.014016177808103918,4,4,0.005316564705620368,true,false,1.6363222464473757,1.5849625007211563,2,-0.0056510202594069366,true,true,3.4802915517374005
5249,49,51,7,0.5,3,"7.079181961195594",0.028787773212372803,4,5,0.00922814506589226,true,true,2.1195622746302525,1.5849625007211563,5,0.006288035991205603,true,true,3.5781820035119316
5250,50,51,7,0.5,3,"1.548165137614679",0.03957290900213255,4,4,0.029884821291002037,true,false,0.32418088155164837,1.5849625007211563,4,0.03868984854381659,true,false,0.0228240867191787
5251,51,51,7,0.5,3,"1.2016021361815754",0.009703451730539216,3,3,-0.014621301528840641,true,false,1.663651707845507,1.5849625007211563,3,-0.003673135301946004,true,false,3.6417354474795385
5252,52,51,7,0.5,3,"1",0.013081395348837205,4,4,-0.034989556548482285,true,false,1.3738657084925139,1.5849625007211563,4,-0.026592705202268592,true,false,1.491916683516698
5253,53,51,7,0.5,3,"1.3555577869263984",0.007206407392552342,4,4,0.0007730829774202285,true,false,8.321648002909162,1.5849625007211563,4,0.004783239047558075,true,false,0.5065957023894373
5254,54,51,7,0.5,3,"1.3923267326732671",0.024295172729982474,4,4,0.0062063256842947966,true,false,2.9145823093786047,1.5849625007211563,4,0.01730842441304896,true,false,0.40366171698829795
5255,55,51,7,0.5,3,"1.015572105619499",0.005313903292053738,4,4,-0.03504352451097289,true,false,1.1516372387255123,1.5849625007211563,4,-0.026447941817386703,true,false,1.2009193505016111
5256,56,51,7,0.5,3,"1.1286681715575622",0.012909287630326453,4,4,-0.01585373630240339,true,false,1.8142741486351979,1.5849625007211563,4,-0.008110530038809348,true,false,2.591670034948983
5257,57,51,7,0.5,3,"1",0.004710851202079247,4,4,-0.047234768001691435,true,false,1.0997327054069694,1.5849625007211563,4,-0.01745244848485087,true,false,1.2699249452687613
5259,59,51,7,0.5,3,"1.1286681715575622",0.027783310624533472,4,4,0.019488404472975958,true,false,0.425632902019241,1.5849625007211563,4,0.023273859098174195,true,false,0.19375607231002948
5260,60,51,7,0.5,3,"1.240238860817639",0.009297265764587124,3,4,-0.006720584779153258,true,true,2.383401306598577,1.5849625007211563,3,-0.010207899001800462,true,false,1.9107913159159664
5266,66,51,7,0.5,3,"1.1540434262267054",0.01980100304599981,4,4,0.01758699748745407,true,false,0.1258887743701067,1.5849625007211563,4,0.018586561929080696,true,false,0.06533973962225839
5268,68,51,7,0.5,3,"1.1205179282868525",0.008940838416366783,3,4,-0.022046296598883262,true,true,1.405548314033826,1.5849625007211563,3,-0.024731551283024542,true,false,1.3615154712314255
5269,69,51,7,0.5,3,"2.2481265611990007",0.06055993809481844,4,5,0.042833003817949834,true,true,0.4138615716098776,1.5849625007211563,2,0,false,,
5270,70,51,7,0.5,3,"1.0550171928727727",0.012950064264399515,4,4,-0.036669261661553446,true,false,1.353158576900861,1.5849625007211563,4,-0.026058349558011052,true,false,1.4969641011058705
5271,71,51,7,0.5,3,"1.3032145960034753",0.022233805952331147,5,4,0.006165507152546772,true,true,2.6061601101455345,1.5849625007211563,5,0.013856264230488316,true,false,0.6046032020239263
5272,72,51,7,0.5,3,"1.0258748432691212",0.013509088767566789,4,4,-0.02246141606831736,true,false,1.6014353114014859,1.5849625007211563,4,-0.01650599759468969,true,false,1.8184351591031935
5273,73,51,7,0.5,3,"1",0.013642340565417476,3,3,-0.013440836606563256,true,false,2.0149919208716387,1.5849625007211563,3,-0.008131242764205833,true,false,2.677768203585286
5275,75,51,7,0.5,3,"1.3995438523740409",0.02025466064230521,4,4,0.0006977435225090835,true,false,28.028804981907264,1.5849625007211563,4,0.013270608215643501,true,false,0.5262797539625087
5276,76,51,7,0.5,3,"2.581755593803787",0.00712714555569888,4,5,-0.004784063466701001,true,true,2.4897681866694845,1.5849625007211563,5,-0.005324691309534172,true,true,2.338508683674734
5277,77,51,7,0.5,3,"1.0235414534288638",0.01553413005168054,4,4,-0.027988627189962985,true,false,1.5550157907441506,1.5849625007211563,4,0.005436551606204498,true,false,1.857349874864081
5282,82,51,7,0.5,3,"1",0.008768724881256839,5,5,0.00019731480866365695,true,false,43.44027764892201,1.5849625007211563,5,0.0027089768870663367,true,false,2.2369138781220292
5283,83,51,7,0.5,3,"1.0367469185577698",0.01116771425200179,3,3,-0.003174132185703642,true,false,4.51835197736925,1.5849625007211563,3,0.00209183072749967,true,false,4.338727510399644
5284,84,51,7,0.5,3,"1.3555577869263984",0.012966168208800642,4,4,-0.013227640604406938,true,false,1.980232877243491,1.5849625007211563,4,0.0015562565535170419,true,false,7.331639265709704
5285,85,51,7,0.5,3,"1.548165137614679",0.031697911177004386,4,4,0.024542612772726787,true,false,0.2915459112091355,1.5849625007211563,4,0.031045566944674224,true,false,0.021012476064382807
5287,87,51,7,0.5,3,"1",0.027036901717208586,5,4,-0.004626744370597303,true,true,6.84361260350292,1.5849625007211563,4,0.005443023657265053,true,true,3.9672578000136363
5288,88,51,7,0.5,3,"1.4367816091954022",0.08408143970576352,4,4,0.05988449056078576,true,false,0.4040603655201283,1.5849625007211563,4,0.08301638693244254,true,false,0.012829428172870389
5292,92,51,7,0.5,3,"1.101052116466846",0.02469691804615027,4,4,-0.011701434130482335,true,false,3.110588990268688,1.5849625007211563,4,0.0016676305081528482,true,false,13.809586371447367
5295,95,51,7,0.5,3,"1.0442450495049505",0.0012409804465787833,5,5,-0.029021722982842675,true,false,1.0427603987300285,1.5849625007211563,5,-0.02604735938465764,true,false,1.0476432343199344
5298,98,51,7,0.5,3,"1.4542712485187976",0.007494607985304339,4,4,-0.019020260411372274,true,false,1.3940328798454984,1.5849625007211563,4,0.006119442048443522,true,false,0.22472080395149596
5299,99,51,7,0.5,3,"1.4701078079059129",0.05316392775964057,5,5,0.0397321277351484,true,false,0.3380589157980065,1.5849625007211563,5,0.05188388850776151,true,false,0.024671228173030572
5301,101,51,7,0.5,3,"1.1101060768028945",0.024652018452286283,4,4,-0.01139823006221736,true,false,3.1627935493250243,1.5849625007211563,4,-0.0012835810128920978,true,false,20.20565839217397
5302,102,51,7,0.5,3,"2.229562345169281",0.018394206939880125,4,3,-0.002070455098273777,true,true,9.884137093924968,1.5849625007211563,3,-0.0012542495563540013,true,true,15.665508029638492
5303,103,51,7,0.5,3,"1.0340073529411764",0.016247629085890967,4,4,-0.0029593038597954518,true,false,6.490355115819034,1.5849625007211563,4,-0.00044379625269052713,true,false,37.610559434400955
5306,106,51,7,0.5,3,"1.1741172377804836",0.016500548887419225,4,4,-0.010798506421250962,true,false,2.52803991994179,1.5849625007211563,4,-0.0025947192609720796,true,false,7.3592809964487245
5307,107,51,7,0.5,3,"1.0340073529411764",0.009394817346054305,4,4,-0.007639169038758709,true,false,2.229821895338092,1.5849625007211563,4,-0.001666155556820707,true,false,6.638619580023565
5308,108,51,7,0.5,3,"1.5458605290278253",0.004035994404621858,3,3,-0.029191742283689724,true,false,1.1382580856394064,1.5849625007211563,3,-0.032057750392596264,true,false,1.125897617742821
