"experimentSeed","model","n","m","lambda","eta","legitimacySignal","reps","nOnePoint","nTwoPoint","nMultiPoint","onePointFrequency","twoPointFrequency","multiPointFrequency","meanMaxFrontSize","nCalibrated","nDegenerate","calibratedFrequency","degenerateFrequency","nMultiPointDegenerate","multiPointDegenerateFrequency","calibratedGivenMultiPoint","meanPStar","medianPStar","q1PStar","q3PStar","minPStar","maxPStar","meanAreaStar","medianAreaStar","nDegenerateWithWinnerSwitch","nDegenerateWithFiniteWinnerSwitch","nDegenerateWithInfinityWinnerSwitch","winnerSwitchFrequencyGivenDegenerate","finiteWinnerSwitchFrequencyGivenDegenerate","meanFirstWinnerSwitchP","medianFirstWinnerSwitchP","q1FirstWinnerSwitchP","q3FirstWinnerSwitchP"
123456,"TwoPole",51,5,0.7,3,"TopSupport",200,23,114,63,0.115,0.57,0.315,2.2,43,157,0.215,0.785,20,0.1,0.6825396825396826,"6.2781515465445805","4.9504950495049505","4.041916167664669","6.919528446950282","2.158273381294964","20.","0.005296622385245317","0.0034096861195297033",123,123,0,0.7834394904458599,0.7834394904458599,2.7038104808525385,2.2665664161094443,1.6359448557577216,3.376485674820566
123456,"TwoPole",51,5,0.8,1,"TopSupport",200,0,17,183,0,0.085,0.915,2.915,151,49,0.755,0.245,32,0.16,0.825136612021858,"5.088000419907378","4.775380261761585","4.249291784702549","5.834053586862576","2.7113878288813016","10.452961672473869","0.017537516688875793","0.015050426685878826",49,49,0,1,1,2.4935449214377603,2.664694385137303,1.799944081327063,3.03175253764016
123456,"TwoPole",51,5,0.8,2,"TopSupport",200,18,123,59,0.09,0.615,0.295,2.205,45,155,0.225,0.775,14,0.07,0.7627118644067796,"6.527898940793157","6.097560975609756","4.861361181130716","7.736389684813753","3.5498290823034444","13.6986301369863","0.012093269873023813","0.009229163044823439",136,136,0,0.8774193548387097,0.8774193548387097,2.7686286862181975,2.3753028406380468,1.764876807904028,3.356388358961885
123456,"TwoPole",51,5,0.8,3,"TopSupport",200,67,116,17,0.335,0.58,0.085,1.75,12,188,0.06,0.94,5,0.025,0.7058823529411765,"10.810233827340163","8.454181533885501","7.364975450081833","14.19558359621451","3.3202164289227745","20.","0.004522257807592291","0.0020827525462563663",118,118,0,0.6276595744680851,0.6276595744680851,3.087183397573995,2.562819739629079,1.6914720499058589,4.010618936123599
123456,"TwoPole",51,7,0.5,1,"TopSupport",200,0,0,200,0,0,1,4,91,109,0.455,0.545,109,0.545,0.455,"1.0825709964933254","1.0550171928727727","1.0025621031525007","1.1298962169400737","1.","1.4068361817423927","0.01078566217206647","0.00927305288376808",97,97,0,0.8899082568807339,0.8899082568807339,1.3969122685697721,1.0516562591167025,1.0117040024798605,1.6486405306561707
123456,"TwoPole",51,7,0.5,2,"TopSupport",200,0,0,200,0,0,1,4.84,101,99,0.505,0.495,99,0.495,0.505,"1.1430959208868534","1.0921446484912223","1.015572105619499","1.179245283018868","1.","2.055420219244823","0.014861234734348352","0.011729248285490206",75,75,0,0.7575757575757576,0.7575757575757576,1.7545531741423095,1.328177296753063,1.0432274978060483,2.144528582315951
123456,"TwoPole",51,7,0.5,3,"TopSupport",200,0,0,200,0,0,1,4.935,121,79,0.605,0.395,79,0.395,0.605,"1.3389710854499295","1.1442617392778438","1.0395010395010396","1.3555577869263984","1.","7.079181961195594","0.016454403519025593","0.013809182209469162",59,59,0,0.7468354430379747,0.7468354430379747,2.757865369450496,1.3042306698789503,1.0541896865838214,3.76596062566802
123456,"TwoPole",51,7,0.6,1,"TopSupport",200,0,0,200,0,0,1,3.28,105,95,0.525,0.475,95,0.475,0.525,"1.4935126509038708","1.4945200929923614","1.3711151736745886","1.6129032258064517","1.169033598891583","1.9477708844322608","0.007110876611713177","0.005885640227086175",95,95,0,1,1,1.2369826666600074,1.2277326399361554,1.1888711674070505,1.2742444964404918
123456,"TwoPole",51,7,0.6,2,"TopSupport",200,0,0,200,0,0,1,4.025,127,73,0.635,0.365,73,0.365,0.635,"1.647141853445056","1.5112504197917833","1.3555577869263984","1.6449372486901424","1.0709186101856258","6.346967559943582","0.009537557035277415","0.00774868859994207",73,73,0,1,1,1.2674845595626079,1.2474092408706967,1.165276274814307,1.337075632624923
123456,"TwoPole",51,7,0.6,3,"TopSupport",200,0,1,199,0,0.005,0.995,4.215,122,78,0.61,0.39,77,0.385,0.6130653266331658,"2.1292046281249033","1.7660910518053372","1.530612244897959","2.229562345169281","1.0235414534288638","20.","0.018140964939808647","0.011128632943702204",76,76,0,0.9743589743589743,0.9743589743589743,1.3726093807876825,1.3253817770106577,1.2194999410123473,1.403968498970953
123456,"TwoPole",51,7,0.7,1,"TopSupport",200,0,0,200,0,0,1,3.085,122,78,0.61,0.39,78,0.39,0.61,"1.912594288099691","1.8669616927119346","1.7432851239669418","2.039891205802357","1.4291763709506669","2.8932704672096015","0.00728274013326634","0.005726634660679585",78,78,0,1,1,1.5176905383874248,1.5222356564813166,1.464792434468665,1.581606869718706
123456,"TwoPole",51,7,0.7,2,"TopSupport",200,0,1,199,0,0.005,0.995,3.685,124,76,0.62,0.38,75,0.375,0.6231155778894473,"2.2365431882628632","2.03224314339308","1.838235294117647","2.3927685218007797","1.3995438523740409","5.710659898477157","0.011174552167225477","0.00844208916946642",76,76,0,1,1,1.6080964877474389,1.6138402719029699,1.4970377219881073,1.6962014570519597
123456,"TwoPole",51,7,0.7,3,"TopSupport",200,0,3,197,0,0.015,0.985,3.705,144,56,0.72,0.28,53,0.265,0.7309644670050761,"3.0571892198676784","2.4441298894643526","2.055420219244823","3.2119914346895073","1.2417218543046358","20.","0.01637485245262994","0.014408019117819169",56,56,0,1,1,1.6877498929652701,1.6489402062340377,1.4776211507975785,1.8326078701246553
123456,"TwoPole",51,7,0.8,1,"TopSupport",200,0,1,199,0,0.005,0.995,3.01,122,78,0.61,0.39,77,0.385,0.6130653266331658,"2.499127753549184","2.469413263032287","2.2481265611990007","2.7388922702373706","1.838235294117647","3.7087912087912085","0.007022972155584402","0.0054941301899844594",78,78,0,1,1,1.8656224695481394,1.8419392220856254,1.7425852513621256,1.9792112751259505
123456,"TwoPole",51,7,0.8,2,"TopSupport",200,0,6,194,0,0.03,0.97,3.44,138,62,0.69,0.31,56,0.28,0.711340206185567,"2.968063762025971","2.7113878288813016","2.305721605465414","3.2119914346895073","1.838235294117647","6.7669172932330826","0.010729017283081827","0.009038223344398782",62,62,0,1,1,2.043161629643026,2.0233279272560853,1.9001207291063846,2.152880959834855
123456,"TwoPole",51,7,0.8,3,"TopSupport",200,0,15,185,0,0.075,0.925,3.335,126,74,0.63,0.37,59,0.295,0.6810810810810811,"4.019011569229219","3.188274198357412","2.4807056229327453","4.103343465045592","1.7182130584192439","20.","0.012476414138775475","0.010058413605390646",73,73,0,0.9864864864864865,0.9864864864864865,2.2275086826568655,2.1881189308880824,1.9566267535031252,2.485371855788058
